オーダーID,オーダー日,顧客ID,商品ID,数量,売上,出荷日,キャンセル日,ステータス
202101220035-1,2021-01-22,C00001885,PA-AMGL,3,49500,2021-01-26,,配達済み
202101220013-1,2021-01-22,C00001080,TS-BMWL,1,8700,2021-01-27,,配達済み
202101220012-1,2021-01-22,C00000873,SB-AUNN,1,8800,2021-01-25,,配達済み
202101220037-1,2021-01-22,C00001887,TB-AUNN,1,7800,2021-01-26,,配達済み
202101220018-1,2021-01-22,C00001386,SB-CUNN,1,5890,2021-01-24,,配達済み
202101220028-2,2021-01-22,C00001661,PA-CWWL,1,14300,2021-01-24,,配達済み
202101220028-1,2021-01-22,C00001661,TS-AMWS,1,7900,2021-01-25,,配達済み
202101220030-1,2021-01-22,C00001688,PA-CWGL,1,14300,2021-01-26,,配達済み
202101220022-1,2021-01-22,C00001470,PA-AMBL,1,16500,2021-01-26,,配達済み
202101220041-1,2021-01-22,C00002033,TO-AUNN,1,2280,2021-01-26,,配達済み
202101220015-1,2021-01-22,C00001198,NI-CMGM,1,12300,2021-01-24,,配達済み
202101220044-1,2021-01-22,C00002063,NI-BWBL,1,15100,2021-01-25,,配達済み
202101220015-3,2021-01-22,C00001198,SB-AUNN,1,8800,2021-01-25,,配達済み
202101220044-2,2021-01-22,C00002063,HA-AUNN,1,5280,2021-01-25,,配達済み
202101220015-2,2021-01-22,C00001198,PA-CMBM,1,14300,2021-01-26,,配達済み
202101220044-3,2021-01-22,C00002063,TB-AUNN,1,7800,2021-01-25,,配達済み
202101220009-2,2021-01-22,C00000512,SK-AWGL,1,18100,2021-01-24,,配達済み
202101220031-1,2021-01-22,C00001803,NI-BMGS,1,14500,2021-01-24,,配達済み
202101220009-1,2021-01-22,C00000512,TB-BUNN,1,9800,2021-01-23,,配達済み
202101220004-1,2021-01-22,C00000260,TS-CMGM,1,7600,2021-01-24,,配達済み
202101220033-1,2021-01-22,C00001877,TS-AWBS,1,8900,2021-01-24,,配達済み
202101220007-1,2021-01-22,C00000414,PA-AMGM,1,16500,2021-01-26,,配達済み
202101220045-1,2021-01-22,C00002197,SK-AWGM,1,18100,2021-01-24,,配達済み
202101220011-1,2021-01-22,C00000537,VE-AWGS,1,18900,2021-01-26,,配達済み
202101220020-1,2021-01-22,C00001411,NI-AMWS,1,10000,2021-01-25,,配達済み
202101220024-1,2021-01-22,C00001521,HA-AUNN,1,5280,2021-01-26,,配達済み
202101230003-1,2021-01-23,C00001222,SW-BWBM,1,15900,2021-01-28,,配達済み
202101230001-1,2021-01-23,C00000295,HA-BUNN,1,4800,2021-01-30,,配達済み
202101230005-1,2021-01-23,C00001829,SW-BWWL,1,15900,2021-01-30,,配達済み
202101240002-1,2021-01-24,C00000212,SK-AWBL,1,18100,2021-01-24,2021-02-02,キャンセル
202101240003-1,2021-01-24,C00001096,PA-AMWM,1,16500,2021-01-24,2021-02-02,キャンセル
202101250027-1,2021-01-25,C00002128,VE-AMWM,1,19800,2021-01-30,,配達済み
202101250006-1,2021-01-25,C00000606,PA-CWBM,1,14300,2021-01-29,,配達済み
202101250020-1,2021-01-25,C00001314,NI-BWWM,1,15100,2021-01-29,,配達済み
202101250026-1,2021-01-25,C00002085,NI-BMWM,2,29000,2021-01-30,,配達済み
202101250019-1,2021-01-25,C00001095,PA-BMWS,1,20000,2021-01-30,,配達済み
202101250016-1,2021-01-25,C00000808,SW-BMGM,1,15900,2021-01-30,,配達済み
202101250004-1,2021-01-25,C00000473,SW-BWWS,1,15900,2021-02-01,,配達済み
202101250025-1,2021-01-25,C00001808,BP-CUNN,1,12900,2021-02-01,,配達済み
202101250023-1,2021-01-25,C00001678,HC-BUNN,1,980,2021-01-29,,配達済み
202101250006-2,2021-01-25,C00000606,PA-CWWL,1,14300,2021-01-30,,配達済み
202101250020-2,2021-01-25,C00001314,TO-AUNN,1,2280,2021-01-31,,配達済み
202101250011-1,2021-01-25,C00000673,SW-BWBM,1,15900,2021-01-29,,配達済み
202101250015-1,2021-01-25,C00000777,TO-BUNN,1,2180,2021-01-29,,配達済み
202101250024-1,2021-01-25,C00001754,PA-CMGM,1,14300,2021-02-01,,配達済み
202101250012-1,2021-01-25,C00000676,BP-BUNN,1,9800,2021-01-31,,配達済み
202101250018-1,2021-01-25,C00001079,PA-CWWS,1,14300,2021-01-31,,配達済み
202101260006-1,2021-01-26,C00001184,TS-BMGS,1,8700,2021-02-01,,配達済み
202101260018-1,2021-01-26,C00001363,TS-CMBL,3,22800,2021-01-30,,配達済み
202101260024-1,2021-01-26,C00002107,TS-AWBL,1,8900,2021-02-01,,配達済み
202101260002-1,2021-01-26,C00000380,SW-CMWM,2,36800,2021-01-31,,配達済み
202101260000-1,2021-01-26,C00000290,HC-BUNN,1,980,2021-02-02,,配達済み
202101260009-1,2021-01-26,C00001345,TS-CMGL,1,7600,2021-01-30,,配達済み
202101260005-3,2021-01-26,C00000812,TO-BUNN,1,2180,2021-01-31,2021-01-29,キャンセル
202101260019-1,2021-01-26,C00001456,SW-CWGL,1,18400,2021-01-30,,配達済み
202101260005-2,2021-01-26,C00000812,PA-CWBM,1,14300,2021-01-30,2021-01-29,キャンセル
202101260004-1,2021-01-26,C00000411,TS-AWGS,2,17800,2021-02-02,,配達済み
202101260025-1,2021-01-26,C00002136,SB-BUNN,2,13600,2021-01-30,,配達済み
202101260007-1,2021-01-26,C00001263,BP-CUNN,1,12900,2021-01-30,,配達済み
202101260021-1,2021-01-26,C00001635,TS-AWWM,1,8900,2021-01-31,,配達済み
202101260005-1,2021-01-26,C00000812,SW-BWWS,1,15900,2021-02-02,2021-01-29,キャンセル
202101260020-1,2021-01-26,C00001586,PA-AMGL,3,49500,2021-02-01,,配達済み
202101280027-1,2021-01-28,C00001058,HA-BUNN,1,4800,2021-01-31,,配達済み
202101280035-2,2021-01-28,C00001456,SK-AWBL,1,18100,2021-02-02,,配達済み
202101280003-1,2021-01-28,C00000013,PA-AMGS,1,16500,2021-01-29,,配達済み
202101280016-2,2021-01-28,C00000778,SW-AMWS,2,32000,2021-01-31,,配達済み
202101280032-1,2021-01-28,C00001170,BP-BUNN,1,9800,2021-02-03,,配達済み
202101280042-1,2021-01-28,C00001848,PA-CMWM,1,14300,2021-02-01,,配達済み
202101280032-2,2021-01-28,C00001170,PA-CWGM,1,14300,2021-02-03,,配達済み
202101280006-1,2021-01-28,C00000109,SW-CMBL,1,18400,2021-02-01,,配達済み
202101280021-1,2021-01-28,C00000897,TB-BUNN,1,9800,2021-02-03,,配達済み
202101280046-2,2021-01-28,C00002155,SW-BWGM,1,15900,2021-02-01,,配達済み
202101280022-1,2021-01-28,C00000977,PA-CWWL,3,42900,2021-01-30,,配達済み
202101280008-1,2021-01-28,C00000209,SW-CMWS,1,18400,2021-02-03,,配達済み
202101280046-1,2021-01-28,C00002155,SB-BUNN,1,6800,2021-02-01,,配達済み
202101280028-1,2021-01-28,C00001096,PA-CMGM,1,14300,2021-02-01,,配達済み
202101280035-1,2021-01-28,C00001456,SK-AWBM,1,18100,2021-02-01,,配達済み
202101280033-1,2021-01-28,C00001170,CT-BWBM,1,35200,2021-02-01,,配達済み
202101280010-1,2021-01-28,C00000349,BP-CUNN,1,12900,2021-02-02,,配達済み
202101280048-1,2021-01-28,C00002200,VE-AWGM,2,37800,2021-02-03,,配達済み
202101280016-1,2021-01-28,C00000778,PA-BMBL,1,20000,2021-01-30,,配達済み
202101280043-1,2021-01-28,C00001963,HC-AUNN,1,1200,2021-01-31,,配達済み
202101280034-1,2021-01-28,C00001376,HC-BUNN,2,1960,2021-02-02,,配達済み
202101280040-1,2021-01-28,C00001588,BP-CUNN,1,12900,2021-01-29,,配達済み
202101280024-1,2021-01-28,C00001046,TS-BWWM,4,30400,2021-02-02,,配達済み
202101280017-2,2021-01-28,C00000894,PA-BMBM,1,20000,2021-02-04,,配達済み
202101280005-1,2021-01-28,C00000023,NI-BMBM,3,43500,2021-01-31,,配達済み
202101280023-1,2021-01-28,C00001032,SW-AMWL,1,16000,2021-02-01,,配達済み
202101280031-1,2021-01-28,C00001144,TS-AWGL,1,8900,2021-02-01,,配達済み
202101280017-1,2021-01-28,C00000894,PA-CMBL,1,14300,2021-02-03,,配達済み
202101280015-1,2021-01-28,C00000604,TB-BUNN,1,9800,2021-02-03,,配達済み
202101280009-1,2021-01-28,C00000349,TS-AMBM,1,7900,2021-01-30,,配達済み
202101280011-1,2021-01-28,C00000424,SB-BUNN,1,6800,2021-02-01,,配達済み
202101290019-2,2021-01-29,C00001113,HA-AUNN,1,5280,2021-02-03,,配達済み
202101290026-1,2021-01-29,C00001290,BP-CUNN,1,12900,2021-01-31,,配達済み
202101290028-1,2021-01-29,C00001302,BP-CUNN,1,12900,2021-02-04,,配達済み
202101290034-1,2021-01-29,C00001922,JA-AMWS,1,31900,2021-02-03,,配達済み
202101290018-1,2021-01-29,C00000949,NI-BMWM,1,14500,2021-02-04,,配達済み
202101290038-1,2021-01-29,C00002214,TS-AWWS,1,8900,2021-02-01,,配達済み
202101290005-1,2021-01-29,C00000183,TB-AUNN,1,7800,2021-01-30,,配達済み
202101290002-1,2021-01-29,C00000146,BP-BUNN,1,9800,2021-02-02,,配達済み
202101290036-1,2021-01-29,C00002209,SK-AWBL,1,18100,2021-01-31,,配達済み
202101290009-1,2021-01-29,C00000636,TO-BUNN,2,4360,2021-02-02,,配達済み
202101290032-1,2021-01-29,C00001751,PA-BMWL,1,20000,2021-02-03,,配達済み
202101290016-1,2021-01-29,C00000894,HA-BUNN,1,4800,2021-01-31,,配達済み
202101290007-1,2021-01-29,C00000472,TS-AWGL,1,8900,2021-02-02,,配達済み
202101290012-1,2021-01-29,C00000723,NI-BMGM,1,14500,2021-01-30,,配達済み
202101290023-1,2021-01-29,C00001287,PA-BMWL,1,20000,2021-02-02,,配達済み
202101290019-1,2021-01-29,C00001113,PA-BWBL,1,19800,2021-02-01,,配達済み
202101290008-1,2021-01-29,C00000536,SK-AWGL,1,18100,2021-02-05,,配達済み
202101290006-3,2021-01-29,C00000262,SW-BWGL,2,31800,2021-02-02,,配達済み
202101290006-2,2021-01-29,C00000262,NI-AWBM,1,11000,2021-01-30,,配達済み
202101290030-1,2021-01-29,C00001587,TB-BUNN,1,9800,2021-02-01,,配達済み
202101290013-1,2021-01-29,C00000780,BP-AUNN,1,10200,2021-01-30,,配達済み
202101290006-1,2021-01-29,C00000262,PA-BWBM,1,19800,2021-02-02,,配達済み
202101290029-1,2021-01-29,C00001381,BP-CUNN,1,12900,2021-02-01,,配達済み
202101300000-1,2021-01-30,C00001413,TS-BMBS,1,8700,2021-02-05,,配達済み
202101310000-1,2021-01-31,C00000190,PA-AMGL,2,33000,2021-02-02,,配達済み
202101310008-1,2021-01-31,C00001003,NI-CMWM,1,12300,2021-02-02,,配達済み
202101310017-1,2021-01-31,C00002153,PA-BMBM,1,20000,2021-02-02,,配達済み
202101310001-3,2021-01-31,C00000201,TS-BWGL,1,7600,2021-02-01,,配達済み
202101310016-1,2021-01-31,C00001707,TB-AUNN,1,7800,2021-02-01,,配達済み
202101310016-2,2021-01-31,C00001707,HC-BUNN,1,980,2021-02-03,,配達済み
202101310006-1,2021-01-31,C00000744,PA-AMBS,1,16500,2021-02-04,,配達済み
202101310001-2,2021-01-31,C00000201,HC-AUNN,1,1200,2021-02-02,,配達済み
202101310001-1,2021-01-31,C00000201,VE-AKBM,1,14500,2021-02-03,,配達済み
202101310002-1,2021-01-31,C00000609,NI-BWGS,1,15100,2021-02-03,,配達済み
202101310009-1,2021-01-31,C00001358,BP-AUNN,1,10200,2021-02-04,,配達済み
202101310007-1,2021-01-31,C00000863,HC-AUNN,1,1200,2021-02-01,,配達済み
202102010007-1,2021-02-01,C00001242,HC-AUNN,1,1200,2021-02-03,,配達済み
202102010003-1,2021-02-01,C00000404,NI-CWBS,2,24800,2021-02-05,,配達済み
202102010004-1,2021-02-01,C00000666,BP-AUNN,1,10200,2021-02-06,,配達済み
202102010008-1,2021-02-01,C00001321,PA-AMBS,1,16500,2021-02-05,,配達済み
202102010008-2,2021-02-01,C00001321,VE-CMGM,1,16800,2021-02-05,,配達済み
202102010001-1,2021-02-01,C00000390,TO-AUNN,1,2280,2021-02-04,,配達済み
202102010011-1,2021-02-01,C00002192,PA-BWWL,1,19800,2021-02-05,,配達済み
202102050002-1,2021-02-05,C00000351,PA-CMGS,2,28600,2021-02-11,,配達済み
202102050017-1,2021-02-05,C00002070,VE-AMWL,1,19800,2021-02-10,,配達済み
202102050011-1,2021-02-05,C00001895,SB-CUNN,1,5890,2021-02-08,,配達済み
202102050012-1,2021-02-05,C00002038,TS-AMGS,1,7900,2021-02-11,,配達済み
202102050016-1,2021-02-05,C00002062,SB-CUNN,1,5890,2021-02-12,,配達済み
202102050006-1,2021-02-05,C00000915,SK-AWWS,1,18100,2021-02-08,,配達済み
202102050003-1,2021-02-05,C00000595,PA-BMBS,4,80000,2021-02-11,,配達済み
202102050010-1,2021-02-05,C00001892,TS-AWGL,1,8900,2021-02-08,,配達済み
202102050009-1,2021-02-05,C00000964,PA-BWGM,1,19800,2021-02-08,,配達済み
202102060005-3,2021-02-06,C00001259,SK-AWWM,1,18100,2021-02-09,,配達済み
202102060006-1,2021-02-06,C00001423,TO-BUNN,2,4360,2021-02-12,,配達済み
202102060000-1,2021-02-06,C00000471,PA-CWWL,1,14300,2021-02-11,,配達済み
202102060003-1,2021-02-06,C00000550,JA-CMWL,1,20800,2021-02-11,,配達済み
202102060000-2,2021-02-06,C00000471,SW-AWBL,1,17600,2021-02-12,,配達済み
202102060004-1,2021-02-06,C00001082,TB-BUNN,1,9800,2021-02-08,,配達済み
202102060005-2,2021-02-06,C00001259,SK-AWBL,1,18100,2021-02-09,,配達済み
202102060005-1,2021-02-06,C00001259,JA-AKWS,1,17000,2021-02-10,,配達済み
202102070003-1,2021-02-07,C00001445,BP-BUNN,3,29400,2021-02-13,,配達済み
202102070005-1,2021-02-07,C00002229,TS-BWBS,1,7600,2021-02-08,,配達済み
202102070003-2,2021-02-07,C00001445,NI-BMWL,1,14500,2021-02-13,,配達済み
202102070001-1,2021-02-07,C00001036,SK-AWWS,1,18100,2021-02-14,,配達済み
202102080012-1,2021-02-08,C00001952,PA-BWWS,1,19800,2021-02-08,,配達済み
202102080002-1,2021-02-08,C00000104,SB-AUNN,1,8800,2021-02-10,,配達済み
202102080011-1,2021-02-08,C00001350,PA-AMGL,1,16500,2021-02-14,,配達済み
202102080006-2,2021-02-08,C00000366,VE-BMGM,2,36000,2021-02-10,,配達済み
202102080015-1,2021-02-08,C00002150,TS-AMWS,1,7900,2021-02-09,,配達済み
202102080006-1,2021-02-08,C00000366,HC-BUNN,1,980,2021-02-13,,配達済み
202102080010-1,2021-02-08,C00001234,PA-CWGM,2,28600,2021-02-08,,配達済み
202102080002-2,2021-02-08,C00000104,PA-CWGM,1,14300,2021-02-08,,配達済み
202102080009-1,2021-02-08,C00000846,PA-AMWL,1,16500,2021-02-09,,配達済み
202102080004-1,2021-02-08,C00000228,TS-AMBL,2,15800,2021-02-13,,配達済み
202102090015-1,2021-02-09,C00002157,PA-BMWL,1,20000,2021-02-14,,配達済み
202102090010-1,2021-02-09,C00001810,PA-AMGL,1,16500,2021-02-14,,配達済み
202102090004-1,2021-02-09,C00000815,TS-BWWS,1,7600,2021-02-13,,配達済み
202102090002-1,2021-02-09,C00000625,PA-BWGL,2,39600,2021-02-14,,配達済み
202102090013-1,2021-02-09,C00002086,NI-AMBL,3,30000,2021-02-16,,配達済み
202102090000-1,2021-02-09,C00000262,TB-BUNN,1,9800,2021-02-13,,配達済み
202102090011-1,2021-02-09,C00001919,PA-AMWS,2,33000,2021-02-13,,配達済み
202102090009-1,2021-02-09,C00001503,BP-BUNN,1,9800,2021-02-17,,配達済み
202102110000-1,2021-02-11,C00000325,BP-BUNN,1,9800,2021-02-13,,配達済み
202102120001-1,2021-02-12,C00001411,SW-BWWS,1,15900,2021-02-19,,配達済み
202102130045-1,2021-02-13,C00001306,PA-CMGL,1,14300,2021-02-19,,配達済み
202102130008-1,2021-02-13,C00000203,TS-BWGM,1,7600,2021-02-19,,配達済み
202102130037-1,2021-02-13,C00001092,TS-AWBM,2,17800,2021-02-18,,配達済み
202102130031-2,2021-02-13,C00001088,JA-AMGS,1,31900,2021-02-21,,配達済み
202102130031-1,2021-02-13,C00001088,TS-CMGL,1,7600,2021-02-19,,配達済み
202102130021-1,2021-02-13,C00000890,TS-BMBM,1,8700,2021-02-16,,配達済み
202102130017-1,2021-02-13,C00000535,TS-BWGL,4,30400,2021-02-20,,配達済み
202102130048-1,2021-02-13,C00001467,PA-CMGM,1,14300,2021-02-20,,配達済み
202102130051-1,2021-02-13,C00001737,SK-AWBS,1,18100,2021-02-18,,配達済み
202102130035-1,2021-02-13,C00001088,HA-AKNN,1,4300,2021-02-18,,配達済み
202102130046-1,2021-02-13,C00001392,NI-BWBM,1,15100,2021-02-20,,配達済み
202102130029-1,2021-02-13,C00001031,TB-BUNN,1,9800,2021-02-15,,配達済み
202102130027-1,2021-02-13,C00000964,NI-AWGS,1,11000,2021-02-21,,配達済み
202102130000-1,2021-02-13,C00000030,HC-BUNN,1,980,2021-02-22,,配達済み
202102130050-1,2021-02-13,C00001584,SW-AWBM,1,17600,2021-02-17,,配達済み
202102130018-1,2021-02-13,C00000845,TS-BWWL,1,7600,2021-02-20,,配達済み
202102130018-2,2021-02-13,C00000845,BP-AUNN,1,10200,2021-02-18,,配達済み
202102130004-2,2021-02-13,C00000099,SK-AWGM,1,18100,2021-02-22,,配達済み
202102130004-1,2021-02-13,C00000099,SK-AWWL,1,18100,2021-02-20,,配達済み
202102130030-1,2021-02-13,C00001054,PA-CWBS,3,42900,2021-02-18,,配達済み
202102130026-1,2021-02-13,C00000917,SW-AWWM,1,17600,2021-02-22,,配達済み
202102130052-1,2021-02-13,C00001814,TO-AUNN,1,2280,2021-02-20,,配達済み
202102130055-1,2021-02-13,C00001872,PA-BMWS,1,20000,2021-02-22,,配達済み
202102130007-1,2021-02-13,C00000111,SB-AUNN,1,8800,2021-02-21,,配達済み
202102130016-1,2021-02-13,C00000411,TS-CWWM,1,7600,2021-02-17,,配達済み
202102130013-1,2021-02-13,C00000227,SW-BMGS,1,15900,2021-02-18,,配達済み
202102130003-1,2021-02-13,C00000056,BP-AUNN,2,20400,2021-02-20,,配達済み
202102130038-1,2021-02-13,C00001128,TO-BUNN,1,2180,2021-02-17,,配達済み
202102130010-1,2021-02-13,C00000220,TB-AUNN,1,7800,2021-02-19,,配達済み
202102130056-1,2021-02-13,C00001944,VE-CWBS,1,16800,2021-02-21,,配達済み
202102130014-1,2021-02-13,C00000403,HC-AUNN,3,3600,2021-02-20,,配達済み
202102130015-1,2021-02-13,C00000405,SB-CUNN,1,5890,2021-02-21,,配達済み
202102140010-1,2021-02-14,C00001664,TS-BMGM,1,8700,2021-02-19,,配達済み
202102140012-1,2021-02-14,C00001672,BP-AUNN,1,10200,2021-02-22,,配達済み
202102140004-1,2021-02-14,C00001042,CT-BWWM,1,35200,2021-02-20,,配達済み
202102140006-1,2021-02-14,C00001423,SW-BWGM,3,47700,2021-02-20,,配達済み
202102140000-1,2021-02-14,C00000715,PA-AKGM,1,7600,2021-02-21,,配達済み
202102140001-1,2021-02-14,C00000851,NI-BMWM,1,14500,2021-02-22,,配達済み
202102140013-1,2021-02-14,C00002166,HA-AUNN,1,5280,2021-02-22,,配達済み
202102150016-1,2021-02-15,C00001998,BP-CUNN,1,12900,2021-02-19,,配達済み
202102150009-1,2021-02-15,C00000816,HA-AUNN,1,5280,2021-02-21,2021-02-23,キャンセル
202102150011-1,2021-02-15,C00000818,HA-BUNN,1,4800,2021-02-20,,配達済み
202102150007-1,2021-02-15,C00000654,SK-AWWS,1,18100,2021-02-22,,配達済み
202102150014-1,2021-02-15,C00001752,HA-AUNN,1,5280,2021-02-20,,配達済み
202102150011-2,2021-02-15,C00000818,CT-AKBM,1,19800,2021-02-18,,配達済み
202102150005-1,2021-02-15,C00000273,PA-AMWS,1,16500,2021-02-20,,配達済み
202102150012-1,2021-02-15,C00000972,HA-AUNN,1,5280,2021-02-17,,配達済み
202102150017-1,2021-02-15,C00002111,TS-CMWL,1,7600,2021-02-20,,配達済み
202102150013-1,2021-02-15,C00001571,JA-BWWL,1,21000,2021-02-20,,配達済み
202102160005-1,2021-02-16,C00001539,PA-BWBS,1,19800,2021-02-17,,配達済み
202102160007-1,2021-02-16,C00001597,PA-BWWL,1,19800,2021-02-22,,配達済み
202102160000-1,2021-02-16,C00000117,SK-AWBM,1,18100,2021-02-21,,配達済み
202102160003-1,2021-02-16,C00001309,TB-AUNN,1,7800,2021-02-20,,配達済み
202102170000-1,2021-02-17,C00000551,CT-CWWL,1,31000,2021-02-23,,配達済み
202102170004-1,2021-02-17,C00001701,TS-AMWS,1,7900,2021-02-22,,配達済み
202102170003-1,2021-02-17,C00001502,NI-AWBM,1,11000,2021-02-22,,配達済み
202102170006-1,2021-02-17,C00001878,PA-AMBL,1,16500,2021-02-22,,配達済み
202102180011-1,2021-02-18,C00002190,NI-AWBM,1,11000,2021-02-25,,配達済み
202102180006-1,2021-02-18,C00001407,PA-AMBM,1,16500,2021-02-25,,配達済み
202102180010-1,2021-02-18,C00002108,PA-AMWS,4,66000,2021-02-19,,配達済み
202102180005-1,2021-02-18,C00001276,HA-AUNN,1,5280,2021-02-25,,配達済み
202102180009-1,2021-02-18,C00001725,NI-AWBM,1,11000,2021-02-23,,配達済み
202102180001-1,2021-02-18,C00000208,SW-AMBS,1,16000,2021-02-22,,配達済み
202102180003-1,2021-02-18,C00000860,TS-CWWS,1,7600,2021-02-26,,配達済み
202102190004-2,2021-02-19,C00001548,HC-BUNN,1,980,2021-02-23,,配達済み
202102190003-1,2021-02-19,C00000990,NI-AWWS,1,11000,2021-02-24,,配達済み
202102190003-2,2021-02-19,C00000990,SW-CWBM,1,18400,2021-02-24,,配達済み
202102190004-1,2021-02-19,C00001548,SK-AWWL,1,18100,2021-02-22,,配達済み
202102190002-1,2021-02-19,C00000467,TS-CMBL,1,7600,2021-02-24,,配達済み
202102200001-1,2021-02-20,C00000638,SK-AWBS,1,18100,2021-02-26,,配達済み
202102200003-1,2021-02-20,C00001542,PA-AMGL,1,16500,2021-02-26,,配達済み
202102200006-1,2021-02-20,C00001741,TS-CMWL,2,15200,2021-02-26,,配達済み
202102200002-1,2021-02-20,C00001284,HC-AUNN,1,1200,2021-02-28,,配達済み
202102210016-2,2021-02-21,C00002223,JA-CWWS,1,22100,2021-02-28,,配達済み
202102210010-1,2021-02-21,C00001413,TB-BUNN,1,9800,2021-02-23,,配達済み
202102210001-2,2021-02-21,C00000021,TO-AUNN,1,2280,2021-02-27,,配達済み
202102210011-1,2021-02-21,C00001666,CT-AMWL,1,39600,2021-02-26,,配達済み
202102210009-3,2021-02-21,C00001079,NI-AWGM,1,11000,2021-02-25,,配達済み
202102210016-1,2021-02-21,C00002223,BP-BUNN,1,9800,2021-02-27,,配達済み
202102210001-1,2021-02-21,C00000021,TS-AMBL,1,7900,2021-02-25,,配達済み
202102210009-2,2021-02-21,C00001079,JA-CWWM,1,22100,2021-02-25,,配達済み
202102210009-1,2021-02-21,C00001079,PA-BWGL,1,19800,2021-02-27,,配達済み
202102210012-1,2021-02-21,C00001839,CT-AWWL,1,41200,2021-02-26,,配達済み
202102210012-2,2021-02-21,C00001839,VE-BMGL,1,18000,2021-02-27,,配達済み
202102210007-1,2021-02-21,C00000872,HA-AUNN,1,5280,2021-02-22,,配達済み
202102210003-1,2021-02-21,C00000493,PA-AMGS,1,16500,2021-02-23,,配達済み
202102210017-1,2021-02-21,C00002228,NI-BWGS,1,15100,2021-02-24,,配達済み
202102210017-2,2021-02-21,C00002228,NI-CWBS,1,12400,2021-02-27,,配達済み
202102210006-1,2021-02-21,C00000859,TO-AUNN,1,2280,2021-02-26,,配達済み
202102210015-1,2021-02-21,C00002204,BP-AUNN,2,20400,2021-02-26,,配達済み
202102220024-1,2021-02-22,C00001053,SW-BWBL,1,15900,2021-02-26,,配達済み
202102220028-1,2021-02-22,C00001435,PA-BMWL,1,20000,2021-02-27,,配達済み
202102220004-1,2021-02-22,C00000041,HC-BUNN,1,980,2021-02-26,,配達済み
202102220021-1,2021-02-22,C00000942,NI-BMGM,1,14500,2021-02-25,,配達済み
202102220013-1,2021-02-22,C00000621,PA-CWBM,1,14300,2021-02-25,,配達済み
202102220030-1,2021-02-22,C00001696,TS-AMGM,1,7900,2021-02-27,,配達済み
202102220029-1,2021-02-22,C00001549,HA-BUNN,2,9600,2021-03-02,,配達済み
202102220032-1,2021-02-22,C00001844,JA-BWWM,1,21000,2021-03-02,,配達済み
202102220014-1,2021-02-22,C00000745,NI-CWGM,1,12400,2021-02-26,,配達済み
202102220023-1,2021-02-22,C00000951,TO-AUNN,1,2280,2021-02-28,,配達済み
202102220012-1,2021-02-22,C00000597,NI-CWGS,1,12400,2021-02-27,,配達済み
202102220033-1,2021-02-22,C00001991,NI-AWGM,4,44000,2021-02-26,,配達済み
202102220009-1,2021-02-22,C00000548,PA-AMWM,1,16500,2021-03-03,,配達済み
202102220022-1,2021-02-22,C00000947,BP-BUNN,4,39200,2021-02-26,,配達済み
202102220007-1,2021-02-22,C00000546,TS-AWBS,1,8900,2021-02-27,,配達済み
202102220026-1,2021-02-22,C00001244,SB-BUNN,1,6800,2021-02-28,,配達済み
202102220016-1,2021-02-22,C00000756,VE-CMBL,1,16800,2021-02-27,,配達済み
202102230005-1,2021-02-23,C00000301,TS-CWBL,1,7600,2021-02-26,,配達済み
202102230005-2,2021-02-23,C00000301,PA-BWWL,1,19800,2021-03-01,,配達済み
202102230006-1,2021-02-23,C00000640,SK-AWBS,1,18100,2021-02-26,,配達済み
202102230007-1,2021-02-23,C00001041,NI-BMBS,1,14500,2021-02-28,,配達済み
202102230000-1,2021-02-23,C00000131,HA-AUNN,4,21120,2021-03-01,,配達済み
202102230011-1,2021-02-23,C00001417,NI-BWGS,2,30200,2021-02-28,,配達済み
202102230014-1,2021-02-23,C00001661,CT-AMGM,1,39600,2021-02-28,,配達済み
202102230009-1,2021-02-23,C00001174,SB-BUNN,1,6800,2021-02-27,,配達済み
202102230003-1,2021-02-23,C00000206,PA-AMGL,1,16500,2021-02-28,,配達済み
202102230014-2,2021-02-23,C00001661,SW-BWBL,3,47700,2021-02-27,,配達済み
202102250007-1,2021-02-25,C00001260,TS-CMWL,4,30400,2021-03-03,2021-03-12,キャンセル
202102250004-1,2021-02-25,C00000550,TS-BMWL,3,26100,2021-02-28,,配達済み
202102250005-1,2021-02-25,C00000985,SW-AKWS,1,7600,2021-03-03,2021-03-12,キャンセル
202102250007-2,2021-02-25,C00001260,NI-AMGM,1,10000,2021-03-01,2021-03-12,キャンセル
202102250002-1,2021-02-25,C00000118,HC-BUNN,1,980,2021-03-03,2021-03-12,キャンセル
202102250011-1,2021-02-25,C00001398,PA-CWWM,2,28600,2021-03-01,2021-03-12,キャンセル
202102250003-1,2021-02-25,C00000437,BP-AUNN,1,10200,2021-03-01,,配達済み
202102260003-1,2021-02-26,C00000468,PA-AMGL,1,16500,2021-02-28,,配達済み
202102260005-1,2021-02-26,C00000507,SK-AWBL,1,18100,2021-03-03,,配達済み
202102260013-1,2021-02-26,C00001657,TS-AWWL,1,8900,2021-03-03,,配達済み
202102260006-1,2021-02-26,C00000749,NI-BMBL,2,29000,2021-03-04,,配達済み
202102260007-1,2021-02-26,C00000846,TO-BUNN,1,2180,2021-03-03,,配達済み
202102260016-1,2021-02-26,C00001947,SB-BUNN,1,6800,2021-02-27,,配達済み
202102260001-1,2021-02-26,C00000067,TS-CMGL,1,7600,2021-02-27,,配達済み
